author,geos
Francois Caron,"['43.71693,7.26664', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '49.4583,1.06895']"
Edith Weber,"['0,0', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Jean-Marie Valentin,"['0,0', '48.6962,6.17634', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Rene Lambert,"['0,0', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518']"
Pierre Toubert,"['0,0', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
Jean-Francois Medard,"['0,0', '44.809966,-0.596578', '44.809966,-0.596578', '44.809966,-0.596578']"
Robert Frank,"['0,0', '48.57872,7.76465', '48.57872,7.76465', '48.57872,7.76465']"
Jean Cottraux,"['0,0', '45.77962,4.86518']"
Henri Dubois,"['0,0', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Nicole Leger,"['0,0', '47.38376,0.67367', '47.38376,0.67367']"
Rene Louis,"['0,0', '48.90245,2.21238']"
Jacques Michaud,"['48.851304,2.340246', '43.61583,3.87203', '43.61583,3.87203']"
