Académie1,Académie2,Nom,long1,lat1,long2,lat2
Rennes,Amiens,2,2,2,2,2
Rennes,Bordeaux,8,8,8,8,8
Rennes,Caen,12,12,12,12,12
Rennes,Clermont-Ferrand,3,3,3,3,3
Rennes,Créteil,8,8,8,8,8
Rennes,Dijon,1,1,1,1,1
Rennes,Grenoble,1,1,1,1,1
Rennes,Lille,6,6,6,6,6
Rennes,Limoges,1,1,1,1,1
Rennes,Lyon,11,11,11,11,11
Rennes,Montpellier,10,10,10,10,10
Rennes,Nancy-Metz,6,6,6,6,6
Rennes,Nantes,12,12,12,12,12
Rennes,Nice,2,2,2,2,2
Rennes,Orléans-Tours,3,3,3,3,3
Rennes,Paris,27,27,27,27,27
Rennes,Poitiers,2,2,2,2,2
Rennes,Rennes,113,113,113,113,113
Rennes,Rouen,2,2,2,2,2
Rennes,Strasbourg,6,6,6,6,6
Rennes,Toulouse,6,6,6,6,6
Rennes,Versailles,28,28,28,28,28
Rouen,Amiens,3,3,3,3,3
Rouen,Bordeaux,4,4,4,4,4
Rouen,Caen,3,3,3,3,3
Rouen,Créteil,2,2,2,2,2
Rouen,Grenoble,1,1,1,1,1
Rouen,Lille,5,5,5,5,5
Rouen,Lyon,3,3,3,3,3
Rouen,Montpellier,1,1,1,1,1
Rouen,Nancy-Metz,1,1,1,1,1
Rouen,Nantes,1,1,1,1,1
Rouen,Nice,2,2,2,2,2
Rouen,Paris,3,3,3,3,3
Rouen,Poitiers,1,1,1,1,1
Rouen,Rennes,1,1,1,1,1
Rouen,Rouen,38,38,38,38,38
Rouen,Strasbourg,4,4,4,4,4
Rouen,Versailles,4,4,4,4,4
Strasbourg,Aix-Marseille,21,21,21,21,21
Strasbourg,Amiens,6,6,6,6,6
Strasbourg,Besançon,7,7,7,7,7
Strasbourg,Bordeaux,9,9,9,9,9
Strasbourg,Caen,1,1,1,1,1
Strasbourg,Clermont-Ferrand,3,3,3,3,3
Strasbourg,Créteil,6,6,6,6,6
Strasbourg,Dijon,6,6,6,6,6
Strasbourg,Grenoble,4,4,4,4,4
Strasbourg,Lille,9,9,9,9,9
Strasbourg,Limoges,1,1,1,1,1
Strasbourg,Lyon,20,20,20,20,20
Strasbourg,Montpellier,21,21,21,21,21
Strasbourg,Nancy-Metz,20,20,20,20,20
Strasbourg,Nantes,6,6,6,6,6
Strasbourg,Nice,10,10,10,10,10
Strasbourg,Orléans-Tours,2,2,2,2,2
Strasbourg,Paris,30,30,30,30,30
Strasbourg,Poitiers,6,6,6,6,6
Strasbourg,Rennes,3,3,3,3,3
Strasbourg,Rouen,2,2,2,2,2
Strasbourg,Strasbourg,145,145,145,145,145
Strasbourg,Toulouse,10,10,10,10,10
Strasbourg,Versailles,26,26,26,26,26
Toulouse,Aix-Marseille,29,29,29,29,29
Toulouse,Amiens,5,5,5,5,5
Toulouse,Besançon,4,4,4,4,4
Toulouse,Bordeaux,36,36,36,36,36
Toulouse,Caen,1,1,1,1,1
Toulouse,Clermont-Ferrand,8,8,8,8,8
Toulouse,Créteil,11,11,11,11,11
Toulouse,Dijon,8,8,8,8,8
Toulouse,Grenoble,4,4,4,4,4
Toulouse,Lille,15,15,15,15,15
Toulouse,Limoges,3,3,3,3,3
Toulouse,Lyon,20,20,20,20,20
Toulouse,Montpellier,30,30,30,30,30
Toulouse,Nancy-Metz,11,11,11,11,11
Toulouse,Nantes,10,10,10,10,10
Toulouse,Nice,10,10,10,10,10
Toulouse,Orléans-Tours,7,7,7,7,7
Toulouse,Paris,29,29,29,29,29
Toulouse,Poitiers,8,8,8,8,8
Toulouse,Reims,1,1,1,1,1
Toulouse,Rennes,13,13,13,13,13
Toulouse,Rouen,4,4,4,4,4
Toulouse,Strasbourg,21,21,21,21,21
Toulouse,Toulouse,268,268,268,268,268
