"Nom","Universite1","Universite2","Annee1","Annee2"
"Anne Jacquemin","Paris 5","Strasbourg",1995,2010
"Anne Jamois-Tremier","Aix-Marseille 1","Rennes 1",2004,2016
"Anne Laurent","Paris 6","Montpellier 2",2002,2013
"Anne Lavigne","Paris 10","Orleans",1990,1999
"Anne Le Goff","Amiens","Compiegne",2013,2018
"Anne Leborgne","Aix-Marseille 3","Aix-Marseille",1992,2015
"Anne Lefebvre","Chatenay-Malabry, Ecole centrale de Paris","Paris 5",1996,1996
"Anne Levade","Universite Paris-Est Creteil Val de Marne (UPEC)","Paris Est",1997,2013
"Anne Luyat","Amiens","Avignon",1989,2000
"Anne Marcellini","Montpellier 1","Montpellier",1991,2017
"Anne Marie Lebrun","Dijon","Bourgogne Franche-Comte",1996,2018
"Anne Marmisse-d'Abbadie d'Arrast","Limoges","Toulouse 1",2000,2015
"Anne Mayere","Lyon 2","Toulouse 2",1988,2006
"Anne Mione","Montpellier 2","Montpellier",1994,2015
"Anne Moncla-Cianchi","Bordeaux 2","Aix-Marseille 2",1988,1994
"Anne Monod","Paris 7","Aix-Marseille 1",1997,2005
"Anne Peggy Hellequin","Universite Paris-Est Creteil Val de Marne (UPEC)","Paris 10",1998,2018
"Anne Pelissier","Strasbourg 3","Avignon",1992,2010
"Anne Pereira de Vasconcelos","Nancy 1","Strasbourg",1987,2014
"Anne Philippe","La Rochelle","Nantes",2016,2012
"Anne Pradines","Nice","Toulouse 3",1990,2005
"Anne Repellin","Paris 7","Paris Est",1994,2014
"Anne Robert","Aix-Marseille","Toulouse 3",2012,2010
"Anne Royou","Paris 11","Bordeaux",2001,2017
"Anne Ruas","Marne-la-Vallee","Paris Est",1999,2008
"Anne Ruiz-Gazen","Toulouse 3","Toulouse 1",1993,2008
"Anne Salazar Orvig","Paris 5","Paris 3",1986,2010
"Anne Talneau","Paris 6","Paris 11",1990,2014
"Anne Trevise","Paris 7","Paris 10",1992,2002
"Anne Vuillemin","Nancy 1","Universite de Lorraine",1998,2015
"Anne Weber","Paris 7","Paris 11",2010,2010
"Anne-Catherine Bachoud-Levi","Paris 6","Paris Est",1998,2010
"Anne-Dominique Merville","Paris 1","Cergy-Pontoise",2001,2015
"Anne-Francoise Obaton","La Rochelle","Paris, CNAM",1998,2018
"Anne-Genevieve Marcelin","Paris 5","Paris 6",1997,2012
"Anne-Karine Bouzier-Sore","Bordeaux 2","Bordeaux",2000,2018
"Anne-Laure Himbert-Biance","Paris 6","Lyon 1",2004,2014
"Anne-Marie Begue-Simon","Paris 5","Rennes 1",1993,2008
"Anne-Marie Boisseau-Garsaud","Bordeaux 2","Montpellier 1",1991,1999
"Anne-Marie Cassard-Doulcier","Paris 11","Universite Paris-Saclay (ComUE)",1992,2018
"Anne-Marie Costalat-Founeau","Toulouse 2","Montpellier 3",1994,2000
"Anne-Marie Edde","Paris 4","Paris 10",1995,2014
"Anne-Marie Francois-Bellan","Aix-Marseille 2","Aix-Marseille",1988,2018
"Anne-Marie Kermarrec","Rennes 1","Rennes, INSA",2007,2010
"Anne-Marie Lezine","Aix-Marseille 2","Paris 6",1987,2009
"Anne-Marie Motard","Bordeaux 3","Montpellier 3",1995,2017
"Anne-Marie Moulin","Lyon 3","Paris 7",1986,1995
"Anne-Marie Rodriguez","Toulouse 3","Paris Est",1997,2011
"Anne-Marie Rogues","Limoges","Bordeaux 2",1989,1997
"Anne-Marie Romani","Nice","Toulon",1985,2013
"Anne-Marie Sohn","Paris 1","Rouen",1993,2003
"Anne-Marie Thiesse","Lyon 2","Paris Sciences et Lettres",1989,2017
"Anne-Nathalie Volkoff","Toulouse, INPT","Montpellier 2",1990,2013
"Anne-Odile Hueber","Aix-Marseille 2","Nice",1995,2009
"Anne-Sophie Barthez","Paris 1","Cergy-Pontoise",2000,2005
"Anne-Sophie Beignon","Universite Louis Pasteur (Strasbourg)","Universite Paris-Saclay (ComUE)",2002,2019
"Anne-Valerie Le Fur","Paris 2","Rennes 1",2002,2015
"Annick Allaigre-Duny","Bordeaux 3","Paris 8",1995,2014
"Annick Cossic-Pericarpin","Paris 3","Brest",1986,2014
"Annick Durand-Delvigne","Paris 5","Lille 3",1992,2005
"Annie Bellier-Delienne","Paris 9","Cergy-Pontoise",1993,2014
"Annie Bezeaud","Paris 7","Lille 2",1987,1994
"Annie Collovald","Paris 1","Paris 10",1994,2010
"Annie Magnan","Aix-Marseille 1","Lyon 2",1988,2000
"Annie Moch","Paris 8","Paris 10",1987,2001
"Annie Montaut","Paris 3","Paris, INALCO",1988,2004
"Annie Renoux","Paris 1","Le Mans",1987,1999
"Annie Rialland","Nice","Paris 3",1988,1996
"Annie Sartre-Fauriat","Paris 1","Artois",1991,2009
"Annie-France Laurens","Paris 10","Montpellier 3",1985,1995
"Annik Schnitzler-Lenoble","Universite Louis Pasteur (Strasbourg)","Metz",1988,2004
"Anthony Bouter","Lorient","Bordeaux",2003,2015
"Anthony Claude Busson","Paris, ENST","Paris 11",2002,2014
"Anthony Levasseur","Aix-Marseille 1","Aix-Marseille",2005,2017
"Anthony Mangeon","Cergy-Pontoise","Strasbourg",2004,2014
"Anthony Mergey","Orleans","Rennes 1",2007,2017
"Anthony Szymczyk","Besancon","Rennes 1",1999,2011
"Antigone Mouchtouris","Paris 10","Paris 5",1986,2008
"Antoine Billot","Dijon","Paris 2",1988,2016
"Antoine Bolze","Paris 2","Paris Est",1996,2013
"Antoine Capet","Universite Marc Bloch (Strasbourg)","Rouen",1987,2008
"Antoine Coppolani","Paris 3","Montpellier 3",1998,2014
"Antoine de Baecque","Paris 1","Paris 10",1992,2016
"Antoine Flahault","Paris 7","Bordeaux 2",1991,2000
"Antoine Giovanni","Aix-Marseille 2","Aix-Marseille",1998,2012
"Antoine Kremer","Paris 11","Nancy 1",1992,1995
"Antoine Mahe","Paris 6","Bordeaux 2",1999,1997
"Antoine Moreau","Nice","Clermont Auvergne",2011,2017
"Antoine Niviere","Paris 4","Nancy 2",1987,2005
"Antoine Olivier Berthet","Paris, ENST","Supelec",2001,2012
"Antoine Ottavi","Aix-Marseille 2","Nice",1990,1996
"Antoine Pariente","Bordeaux 2","Bordeaux",2008,2016
"Antoine Rebeyrol","Paris 10","Paris 8",1994,2005
"Antoine Roger","Bordeaux 4","Bordeaux",2000,2014
"Antoine Rousseau","Paris 11","Palaiseau, Ecole polytechnique",2005,2013
"Antoine Triller","Paris 6","Paris, Ecole normale superieure",1986,2015
"Antoine-Jean Leonetti","Paris 1","Nice",1997,2006
"Antoinette Lemoine","Paris 11","Universite Paris-Saclay (ComUE)",1991,2019
"Antonello De Martino","Paris 11","Palaiseau, Ecole polytechnique",1985,2011
"Antonia Soulez","Paris 10","Paris 8",1988,1996
"Antony Kuhn","Nancy 2","Universite de Lorraine",1999,2017
"Arezki Boudaoud","Paris 6","Lyon, Ecole normale superieure",2001,2015
"Ariane Dupont-Kieffer","Paris 1","Paris Est",2003,2015
"Ariane Sharif","Paris 6","Lille 2",2005,2017
"Ariel Mendez","Aix-Marseille 2","Aix-Marseille",1994,2013
"Arlette Delamarche","Lyon 1","Rennes 2",1989,2001
